Scan Name,Population,Seedling Count
16118001,Pop1,125
16118002,Pop1,125
16118003,Pop1,125
16118004,Pop1,125
16118005,Pop1,125
16118006,Pop1,125
16118007,Pop1,125
16118008,Pop1,125
16118009,Pop1,125
16118010,Pop1,125
16118011,Pop1,125
16118012,Pop1,125
16118013,Pop1,125
16118014,Pop1,125
16118015,Pop1,125
16118016,Pop1,125
16118017,Pop1,125
16118018,Pop1,125
16118019,Pop1,125
16118020,Pop1,125
16118021,Pop1,125
16118022,Pop1,125
16118023,Pop1,125
16118024,Pop1,125
16118025,Pop1,125
16118026,Pop1,125
16118027,Pop1,125
16118028,Pop1,125
16118029,Pop1,125
16118030,Pop1,125
16118031,Pop1,125
16118032,Pop1,125
16118033,Pop1,125
16118034,Pop1,125
16118035,Pop1,125
16118036,Pop1,125
16118037,Pop1,125
16118038,Pop1,125
16118039,Pop1,125
16118040,Pop1,125
16118041,Pop1,125
16118042,Pop1,125
16118043,Pop1,125
16118044,Pop1,125
16118045,Pop1,125
16118046,Pop1,125
16118047,Pop1,125
16118048,Pop1,125
16118049,Pop1,125
16118050,Pop1,125
16118051,Pop1,125
16118052,Pop1,125
16118053,Pop1,125
16118054,Pop1,125
16118055,Pop1,125
16118056,Pop1,125
16118057,Pop1,125
16118058,Pop1,125
16118059,Pop1,125
16118060,Pop1,125
16118061,Pop1,125
16118062,Pop1,125
16118063,Pop1,125
16118064,Pop1,125
16118065,Pop1,125
16118066,Pop1,125
16118067,Pop1,125
16118068,Pop1,125
16118069,Pop1,125
16118070,Pop1,125
16118071,Pop1,125
16118072,Pop1,125
16118073,Pop1,125
16118074,Pop1,125
16118075,Pop1,125
16118076,Pop1,125
16118077,Pop1,125
16118078,Pop1,125
16118079,Pop1,125
16118080,Pop1,125
16118081,Pop1,125
16118082,Pop1,125
16118083,Pop1,125
16118084,Pop1,125
16118085,Pop1,125
16118086,Pop1,125
16118087,Pop1,125
16118088,Pop1,125
16118089,Pop1,125
16118090,Pop1,125
16118091,Pop1,125
16118092,Pop1,125
16118093,Pop1,125
16118094,Pop1,125
16118095,Pop1,125
16118096,Pop1,125
16118097,Pop1,125
16118098,Pop1,125
16118099,Pop1,125
16118100,Pop1,125
16118101,Pop1,125
16118102,Pop1,125
16118103,Pop1,125
16118104,Pop1,125
16118105,Pop1,125
16118106,Pop1,125
16118107,Pop1,125
16118108,Pop1,125
16118109,Pop1,125
16118110,Pop1,125
16118111,Pop1,125
16118112,Pop1,125
16118113,Pop1,125
16118114,Pop1,125
16118115,Pop1,125
16118116,Pop1,125
16118117,Pop1,125
16118118,Pop1,125
16118119,Pop1,125
16118120,Pop1,125
16118121,Pop1,125
16118122,Pop1,125
16118123,Pop1,125
16118124,Pop1,125
16118125,Pop1,125
16119001,Pop2,100
16119002,Pop2,100
16119003,Pop2,100
16119004,Pop2,100
16119005,Pop2,100
16119006,Pop2,100
16119007,Pop2,100
16119008,Pop2,100
16119009,Pop2,100
16119010,Pop2,100
16119011,Pop2,100
16119012,Pop2,100
16119013,Pop2,100
16119014,Pop2,100
16119015,Pop2,100
16119016,Pop2,100
16119017,Pop2,100
16119018,Pop2,100
16119019,Pop2,100
16119020,Pop2,100
16119021,Pop2,100
16119022,Pop2,100
16119023,Pop2,100
16119024,Pop2,100
16119025,Pop2,100
16119026,Pop2,100
