total.dvit,dvit,dvit.number,location,block,row,vine,cultivar,country,parentage
DVIT1976.0000C,DVIT1976,1976,  K  9 55,K,9,55,_5-12,YUGOSLAVIA,NA
DVIT1976.0000D,DVIT1976,1976,  K  9 56,K,9,56,_5-12,YUGOSLAVIA,NA
DVIT1977.0000C,DVIT1977,1977,  K  9 57,K,9,57,_5-14,YUGOSLAVIA,NA
DVIT1977.0000D,DVIT1977,1977,  K  9 58,K,9,58,_5-14,YUGOSLAVIA,NA
DVIT1978.0000E,DVIT1978,1978,  K  9 59,K,9,59,_5-15,YUGOSLAVIA,NA
DVIT1978.0000D,DVIT1978,1978,  K  9 60,K,9,60,_5-15,YUGOSLAVIA,NA
DVIT1979.0000C,DVIT1979,1979,  K 14 17,K,14,17,_5-17,YUGOSLAVIA,NA
DVIT1979.0000D,DVIT1979,1979,  K 14 18,K,14,18,_5-17,YUGOSLAVIA,NA
DVIT1980.0000C,DVIT1980,1980,  K 14 19,K,14,19,_5-20,YUGOSLAVIA,NA
DVIT1980.0000D,DVIT1980,1980,  K 14 20,K,14,20,_5-20,YUGOSLAVIA,NA
DVIT1981.0000C,DVIT1981,1981,  K 14 21,K,14,21,_5-30,YUGOSLAVIA,NA
DVIT1981.0000D,DVIT1981,1981,  K 14 22,K,14,22,_5-30,YUGOSLAVIA,NA
DVIT0333.0000C,DVIT0333,333,  K  4  9,K,4,9,Ab Jusht,AFGHANISTAN,NA
DVIT0333.0000D,DVIT0333,333,  K  4 10,K,4,10,Ab Jusht,AFGHANISTAN,NA
DVIT0305.0000C,DVIT0305,305,  K  3 51,K,3,51,Abla Aganin Isium,GERMANY,NA
DVIT0305.0000D,DVIT0305,305,  K  3 52,K,3,52,Abla Aganin Isium,GERMANY,NA
DVIT0327.0000C,DVIT0327,327,  K  3 79,K,3,79,Abla Aganin Isium,GERMANY,NA
DVIT0327.0000D,DVIT0327,327,  K  3 80,K,3,80,Abla Aganin Isium,GERMANY,NA
DVIT0306.0000A,DVIT0306,306,  K  1  1,K,1,1,Adjem Misquet,GERMANY,NA
DVIT0306.0000B,DVIT0306,306,  K  1  2,K,1,2,Adjem Misquet,GERMANY,NA
DVIT0618.0000C,DVIT0618,618,  L  3  7,L,3,7,Affenthaler,UNKNOWN,NA
DVIT0618.0000F,DVIT0618,618,  L  3  8,L,3,8,Affenthaler,UNKNOWN,NA
DVIT3153.0000A,DVIT3153,3153,  L 16 79,L,16,79,Affenthaler,USA,NA
DVIT3153.0000B,DVIT3153,3153,  L 16 80,L,16,80,Affenthaler,USA,NA
DVIT0334.0000C,DVIT0334,334,  K  4 11,K,4,11,Agadia,USSR,NA
DVIT0334.0000D,DVIT0334,334,  K  4 12,K,4,12,Agadia,USSR,NA
DVIT0619.0000C,DVIT0619,619,  L  3  9,L,3,9,Aglianico,ITALY,NA
DVIT0619.0000D,DVIT0619,619,  L  3 10,L,3,10,Aglianico,ITALY,NA
DVIT1024.0000C,DVIT1024,1024,  L 11 41,L,11,41,Agoumastos,GREECE,NA
DVIT1024.0000D,DVIT1024,1024,  L 11 42,L,11,42,Agoumastos,GREECE,NA
DVIT2701.0000C,DVIT2701,2701,  L 12 43,L,12,43,Agria,HUNGARY,(TEINT. xKADARKA) x(MALBEC xPERLE V.CSABA)
DVIT2701.0000D,DVIT2701,2701,  L 12 44,L,12,44,Agria,HUNGARY,(TEINT. xKADARKA) x(MALBEC xPERLE V.CSABA)
DVIT2630.0000A,DVIT2630,2630,  L 14 67,L,14,67,Agwam,NA,NA
DVIT2630.0000B,DVIT2630,2630,  L 14 68,L,14,68,Agwam,NA,NA
DVIT2037.0000C,DVIT2037,2037,  K 11 51,K,11,51,Aitah,AFGHANISTAN,NA
DVIT2037.0000D,DVIT2037,2037,  K 11 52,K,11,52,Aitah,AFGHANISTAN,NA
DVIT0336.0000C,DVIT0336,336,  K  4 13,K,4,13,Aitah Ghulaman,AFGHANISTAN,NA
DVIT0336.0000D,DVIT0336,336,  K  4 14,K,4,14,Aitah Ghulaman,AFGHANISTAN,NA
DVIT0563.0000C,DVIT0563,563,  K 11 33,K,11,33,Ajmi,IRAQ,NA
DVIT0563.0000D,DVIT0563,563,  K 11 34,K,11,34,Ajmi,IRAQ,NA
DVIT3154.0000A,DVIT3154,3154,  K 16 29,K,16,29,Ajmi,NA,NA
DVIT3154.0000B,DVIT3154,3154,  K 16 30,K,16,30,Ajmi,NA,NA
DVIT0612.0000C,DVIT0612,612,  K  9  5,K,9,5,Ak Schekerek,GERMANY,NA
DVIT0612.0000D,DVIT0612,612,  K  9  6,K,9,6,Ak Schekerek,GERMANY,NA
DVIT0307.0000C,DVIT0307,307,  K  3 53,K,3,53,Al Borla,GERMANY,NA
DVIT0307.0000D,DVIT0307,307,  K  3 54,K,3,54,Al Borla,GERMANY,NA
DVIT0622.0000C,DVIT0622,622,  L  3 13,L,3,13,Albana,ITALY,NA
DVIT0622.0000D,DVIT0622,622,  L  3 14,L,3,14,Albana,ITALY,NA
DVIT0634.0000C,DVIT0634,634,  L 13 27,L,13,27,Alburla,UNKNOWN,NA
DVIT0634.0000D,DVIT0634,634,  L 13 28,L,13,28,Alburla,UNKNOWN,NA
DVIT0623.0000C,DVIT0623,623,  L  3 15,L,3,15,Aleatico,UNKNOWN,NA
DVIT0623.0000D,DVIT0623,623,  L  3 16,L,3,16,Aleatico,UNKNOWN,NA
DVIT0624.0000A,DVIT0624,624,  L  1  1,L,1,1,Alicante Bouschet,ITALY,NA
DVIT0624.0000B,DVIT0624,624,  L  1  2,L,1,2,Alicante Bouschet,ITALY,NA
DVIT0625.0000C,DVIT0625,625,  L  3 17,L,3,17,Alicante Bouschet,ITALY,NA
DVIT0625.0000D,DVIT0625,625,  L  3 18,L,3,18,Alicante Bouschet,ITALY,NA
DVIT1025.0000C,DVIT1025,1025,  L 11 43,L,11,43,Alicante Branca,UNKNOWN,NA
DVIT1025.0000E,DVIT1025,1025,  L 11 44,L,11,44,Alicante Branca,UNKNOWN,NA
DVIT3155.0000A,DVIT3155,3155,  L 17  1,L,17,1,Alicante Ganzin,NA,NA
DVIT3155.0000B,DVIT3155,3155,  L 17  2,L,17,2,Alicante Ganzin,NA,NA
DVIT0626.0000D,DVIT0626,626,  L  3 20,L,3,20,Alicante Vermelho,PORTUGAL,NA
DVIT0627.0000C,DVIT0627,627,  L  3 21,L,3,21,Aligote,FRANCE,NA
DVIT0627.0000D,DVIT0627,627,  L  3 22,L,3,22,Aligote,FRANCE,NA
DVIT0337.0000C,DVIT0337,337,  K  4 15,K,4,15,Alloued Zeine,UNKNOWN,NA
DVIT0337.0000D,DVIT0337,337,  K  4 16,K,4,16,Alloued Zeine,UNKNOWN,NA
DVIT1079.0000A,DVIT1079,1079,  K  1 29,K,1,29,Almeria,UNKNOWN,NA
DVIT1079.0000B,DVIT1079,1079,  K  1 30,K,1,30,Almeria,UNKNOWN,NA
DVIT0338.0000A,DVIT0338,338,  K  1  7,K,1,7,Alulu,UNKNOWN,NA
DVIT0338.0000B,DVIT0338,338,  K  1  8,K,1,8,Alulu,UNKNOWN,NA
DVIT1058.0000C,DVIT1058,1058,  L 12 21,L,12,21,Alvarelhao,PORTUGAL,NA
DVIT1058.0000D,DVIT1058,1058,  L 12 22,L,12,22,Alvarelhao,PORTUGAL,NA
DVIT0630.0000C,DVIT0630,630,  L  3 27,L,3,27,Anacelatta,UNKNOWN,NA
DVIT0630.0000D,DVIT0630,630,  L  3 28,L,3,28,Anacelatta,UNKNOWN,NA
DVIT0629.0000C,DVIT0629,629,  L  3 25,L,3,25,Anatolitico,GREECE,NA
DVIT0629.0000D,DVIT0629,629,  L  3 26,L,3,26,Anatolitico,GREECE,NA
DVIT0339.0000C,DVIT0339,339,  K  4 17,K,4,17,Angelina,UNKNOWN,NA
DVIT0339.0000D,DVIT0339,339,  K  4 18,K,4,18,Angelina,UNKNOWN,NA
DVIT0564.0000E,DVIT0564,564,  K  8  1,K,8,1,Angelo Pirovano,ITALY,CHASSELAS ROSE X MUSCAT HAMBURG
DVIT0564.0000D,DVIT0564,564,  K  8  2,K,8,2,Angelo Pirovano,ITALY,CHASSELAS ROSE X MUSCAT HAMBURG
DVIT0340.0000C,DVIT0340,340,  K  4 19,K,4,19,Angevine Oberlin,UNKNOWN,NA
DVIT0340.0000D,DVIT0340,340,  K  4 20,K,4,20,Angevine Oberlin,UNKNOWN,NA
DVIT0341.0000C,DVIT0341,341,  K  4 21,K,4,21,Angulata,UNKNOWN,NA
