index,Label,X,Y
1,ALGERIA_Ahmeur Bou Ahmeur_2_overlay.png,227,124
2,ALGERIA_Ahmeur Bou Ahmeur_2_overlay.png,234.5,503.5
3,ALGERIA_Ahmeur Bou Ahmeur_31_overlay.png,244,102
4,ALGERIA_Ahmeur Bou Ahmeur_31_overlay.png,269.5,504.5
5,ALGERIA_Ahmeur Bou Ahmeur_33_overlay.png,247,173
6,ALGERIA_Ahmeur Bou Ahmeur_33_overlay.png,205.5,506.5
7,ALGERIA_Ahmeur Bou Ahmeur_40_overlay.png,273,118
8,ALGERIA_Ahmeur Bou Ahmeur_40_overlay.png,215.5,507.5
9,ALGERIA_Ahmeur Bou Ahmeur_49_overlay.png,258,129
10,ALGERIA_Ahmeur Bou Ahmeur_49_overlay.png,278.5,509.5
11,ALGERIA_Ahmeur Bou Ahmeur_4_overlay.png,259,117
12,ALGERIA_Ahmeur Bou Ahmeur_4_overlay.png,263.5,503.5
13,ALGERIA_Ahmeur Bou Ahmeur_61_overlay.png,256,141
14,ALGERIA_Ahmeur Bou Ahmeur_61_overlay.png,237.5,509.5
15,ALGERIA_Ahmeur Bou Ahmeur_62_overlay.png,241,141
16,ALGERIA_Ahmeur Bou Ahmeur_62_overlay.png,272.5,509.5
17,ALGERIA_Ahmeur Bou Ahmeur_71_overlay.png,252,117
18,ALGERIA_Ahmeur Bou Ahmeur_71_overlay.png,263.5,509.5
19,ALGERIA_Ahmeur Bou Ahmeur_7_overlay.png,272,117
20,ALGERIA_Ahmeur Bou Ahmeur_7_overlay.png,215.5,505.5
21,ALGERIA_Amer Bouamar_105_overlay.png,242,104
22,ALGERIA_Amer Bouamar_105_overlay.png,195.5,508.5
23,ALGERIA_Amer Bouamar_110_overlay.png,243,108
24,ALGERIA_Amer Bouamar_110_overlay.png,308.5,508.5
25,ALGERIA_Amer Bouamar_118_overlay.png,274,104
26,ALGERIA_Amer Bouamar_118_overlay.png,263.5,507.5
27,ALGERIA_Amer Bouamar_128_overlay.png,255,145
28,ALGERIA_Amer Bouamar_128_overlay.png,241.5,493.5
29,ALGERIA_Amer Bouamar_135_overlay.png,260,93
30,ALGERIA_Amer Bouamar_135_overlay.png,256.5,506.5
31,ALGERIA_Amer Bouamar_73_overlay.png,271,105
32,ALGERIA_Amer Bouamar_73_overlay.png,263.5,509.5
33,ALGERIA_Amer Bouamar_83_overlay.png,260,102
34,ALGERIA_Amer Bouamar_83_overlay.png,202.5,506.5
35,ALGERIA_Amer Bouamar_88_overlay.png,257,117
36,ALGERIA_Amer Bouamar_88_overlay.png,181.5,506.5
37,ALGERIA_Amer Bouamar_90_overlay.png,249,112
38,ALGERIA_Amer Bouamar_90_overlay.png,257.5,507.5
39,ALGERIA_Amer Bouamar_95_overlay.png,238,94
40,ALGERIA_Amer Bouamar_95_overlay.png,245.5,503.5
41,ALGERIA_Amer Bouamar_97_overlay.png,268,114
42,ALGERIA_Amer Bouamar_97_overlay.png,207.5,506.5
43,ALGERIA_Babari_136_overlay.png,276,158
44,ALGERIA_Babari_136_overlay.png,261.5,507.5
45,ALGERIA_Babari_137_overlay.png,256,112
46,ALGERIA_Babari_137_overlay.png,272.5,497.5
47,ALGERIA_Babari_139_overlay.png,245,153
48,ALGERIA_Babari_139_overlay.png,245.5,500.5
49,ALGERIA_Babari_143_overlay.png,236,149
50,ALGERIA_Babari_143_overlay.png,239.5,506.5
51,ALGERIA_Babari_144_overlay.png,251,123
52,ALGERIA_Babari_144_overlay.png,257.5,492.5
53,ALGERIA_Babari_145_overlay.png,244,126
54,ALGERIA_Babari_145_overlay.png,239.5,506.5
55,ALGERIA_Babari_156_overlay.png,242,164
56,ALGERIA_Babari_156_overlay.png,227.5,502.5
57,ALGERIA_Babari_157_overlay.png,238,153
58,ALGERIA_Babari_157_overlay.png,238.5,509.5
59,ALGERIA_Babari_158_overlay.png,271,152
60,ALGERIA_Babari_158_overlay.png,261.5,506.5
61,ALGERIA_Babari_166_overlay.png,280,175
62,ALGERIA_Babari_166_overlay.png,240.5,495.5
63,ALGERIA_Babari_168_overlay.png,245,145
64,ALGERIA_Babari_168_overlay.png,291.5,490.5
65,ALGERIA_Babari_172_overlay.png,253,156
66,ALGERIA_Babari_172_overlay.png,146.5,441.5
67,ALGERIA_Bouabane des Aures_176_overlay.png,255,159
68,ALGERIA_Bouabane des Aures_176_overlay.png,249.5,506.5
69,ALGERIA_Bouabane des Aures_180_overlay.png,250,129
70,ALGERIA_Bouabane des Aures_180_overlay.png,245.5,507.5
71,ALGERIA_Bouabane des Aures_181_overlay.png,265,132
72,ALGERIA_Bouabane des Aures_181_overlay.png,294.5,509.5
73,ALGERIA_Bouabane des Aures_182_overlay.png,256,145
74,ALGERIA_Bouabane des Aures_182_overlay.png,189.5,508.5
75,ALGERIA_Bouabane des Aures_185_overlay.png,257,159
76,ALGERIA_Bouabane des Aures_185_overlay.png,266.5,504.5
77,ALGERIA_Bouabane des Aures_187_overlay.png,267,168
78,ALGERIA_Bouabane des Aures_187_overlay.png,188.5,508.5
79,ALGERIA_Bouabane des Aures_203_overlay.png,256,146
80,ALGERIA_Bouabane des Aures_203_overlay.png,245.5,506.5
81,ALGERIA_Bouabane des Aures_213_overlay.png,255,145
82,ALGERIA_Bouabane des Aures_213_overlay.png,246.5,509.5
83,ALGERIA_Ichmoul_215_overlay.png,242,130
84,ALGERIA_Ichmoul_215_overlay.png,246.5,504.5
85,ALGERIA_Ichmoul_219_overlay.png,258,151
86,ALGERIA_Ichmoul_219_overlay.png,278.5,475.5
87,ALGERIA_Ichmoul_228_overlay.png,240,156
88,ALGERIA_Ichmoul_228_overlay.png,221.5,502.5
